id,【Adventure】,【Fantasy】,【Animation】,【Drama】,【Action】,【Comedy】,【Thriller】,【Crime】,【Science Fiction】,【Family】,【Columbia Pictures】,【Warner Bros】,【Universal Pictures】,【man】,【war】,【based on】,【release_date】,【revenue】,【runtime】
1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0.817625093,1,0.692913386
2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.747722181,0.343284971,0.748031496
3,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.977893951,0.314411463,0.582677165
4,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0.88849888,0.387835723,0.716535433
5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.878715459,0.099982716,0.456692913
6,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.746377894,0.31807685,0.511811024
7,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.84368932,0.210571699,0.204724409
8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.963928305,0.503028902,0.527559055
9,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.805974608,0.33356497,0.622047244
10,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.989021658,0.311746301,0.606299213
11,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0.723450336,0.138423778,0.62992126
12,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.787303958,0.208521282,0.251968504
13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.722852875,0.380905652,0.606299213
14,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.914787155,0.029942849,0.590551181
15,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0.91321882,0.236111314,0.543307087
16,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.774757282,0.148693538,0.598425197
17,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.882374907,0.544062411,0.543307087
18,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.856460045,0.373735923,0.488188976
19,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.884466019,0.222157653,0.251968504
20,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0.953995519,0.3414948,0.551181102
21,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.88707991,0.26823609,0.488188976
22,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.829051531,0.109519263,0.519685039
23,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.926811053,0.342350383,0.68503937
24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.762584018,0.131649337,0.307086614
25,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.708812547,0.195548225,0.88976378
26,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.488648245,0.661057074,0.94488189
27,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0.991635549,0.41241013,0.57480315
28,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0.88132935,0.106771555,0.448818898
29,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.967513069,0.54189521,0.393700787
30,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.896041822,0.396326781,0.543307087
31,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.668707991,0.279577126,0.417322835
32,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0.909111277,0.434745158,0.440944882
33,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.823823749,0.366466739,0.267716535
34,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0.720836445,0.1629669,0.236220472
35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.913816281,0.265124542,0.236220472
36,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.804630321,0.298459711,0.598425197
37,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.941448842,0.39015997,0.716535433
38,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.905974608,0.174652479,0.440944882
39,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.93622106,0.251521915,0.535433071
40,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.844884242,0.141652265,0.401574803
41,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.858551158,0.199089736,0.251968504
42,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0.858924571,0.076873983,0.31496063
43,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.831665422,0.381376501,0.228346457
44,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0.802389843,0.131332346,0.322834646
45,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.96235997,0.539278563,0.496062992
46,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.913816281,0.189029476,0.330708661
47,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.938386856,0.266671345,0.448818898
48,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.910380881,0.1658446,0.456692913
49,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0.905377147,0.068907137,0.31496063
50,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.910754294,0.12403085,0.543307087
51,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.829574309,0.1183206,0.330708661
52,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.915384615,0.144362621,0.448818898
53,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.859820762,0.401785486,0.62992126
54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.775205377,0.280608657,0.377952756
55,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.97931292,0.117160095,0.149606299
56,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0.886631815,0.191588164,0.149606299
57,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.996938013,0.121310264,0.377952756
58,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.77759522,0.185236078,0.188976378
59,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.753771471,0.09059483,0.133858268
60,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0.813069455,0.274504204,0.661417323
61,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.81493652,0.114754508,0.173228346
62,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0.958177745,0.063982622,0.393700787
63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.996340553,0.126080703,0.275590551
64,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.708289768,0.267010738,0.543307087
65,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.993203883,0.193368043,0.551181102
66,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0.779387603,0.35894235,0.614173228
67,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.801867065,0.262083349,0.173228346
68,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.797759522,0.134983301,0.157480315
69,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.773637043,0.208191838,0.409448819
